Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2003-01-04T14:21:20.525447,161.3421442792081,-75.37879402685547,-4.648438,2003-01-04T14:21:20.610826,-75.37344553667734,161.33453565706682,-4.296875,,,,
2003-01-04T20:27:18.202926,161.29239037562755,-75.26174184800749,64.257812,2003-01-04T20:27:18.021555,-75.3552600718448,161.12286066175238,-4.296875,,,,
2003-01-05T21:31:45.723306,161.2550206802398,-75.3337322754806,-4.648438,2003-01-05T21:31:45.811110,-75.33065066785743,161.27386866082213,-4.296875,,,,
2003-01-06T02:39:48.789309,161.2060444810359,-75.28249182731162,62.148438,2003-01-06T02:39:48.886731,-75.36752742089799,161.0471644843228,-4.296875,,,,
2003-01-07T03:40:48.948651,161.30397168116752,-75.3191339044779,-4.648438,2003-01-07T03:40:49.207119,-75.31378482713075,161.29640837599877,-4.296875,,,,
2003-01-07T22:39:38.917631,161.2512106281639,-75.31459942682518,-4.648438,,,,,,,,
2003-01-08T16:55:56.863668,160.99239912333238,-75.24505656781798,64.960938,2003-01-08T16:55:56.737488,-75.33687802626882,160.91171910807938,-4.296875,,,,
2003-01-08T22:43:29.156286,161.08656961908255,-75.19683862211464,-4.648438,2003-01-08T22:44:01.881346,-76.41233236534784,159.02850573725243,28.75,,,,
2003-01-09T05:59:21.381159,161.10757544562608,-75.37746631896297,-4.648438,2003-01-09T05:59:21.405763,-75.3980975673857,161.18318367826137,-4.296875,,,,
2003-01-10T04:34:11.459640,161.2135387578572,-75.32075710623931,-4.648438,2003-01-10T04:34:10.125457,-75.17006231200814,161.04951981462662,4.84375,,,,
2003-01-11T08:02:32.383325,161.68755148831715,-75.29537565331012,89.570312,2003-01-11T08:02:32.686113,-75.33180669973915,161.50769376049874,-4.296875,,,,
2003-01-11T19:53:40.794108,160.9707313676789,-74.97955998403322,-4.648438,2003-01-11T19:53:40.889372,-74.98182578371193,161.15481688772616,-4.296875,,,,
2003-01-12T01:39:33.296527,160.74547363218926,-75.11479280437626,-4.296875,2003-01-12T01:39:33.292743,-75.1272107715137,160.99052065589018,-3.59375,,,,
2003-01-12T06:59:08.105336,161.35676563754848,-75.3236561002311,-4.648438,2003-01-12T06:59:08.580603,-75.75781091642105,160.6537823502258,160.9375,,,,
2003-01-12T09:14:51.285443,161.58037754026026,-75.22065562877441,-4.648438,2003-01-12T09:14:51.007893,-75.4425222999358,161.15266116591647,153.90625,,,,
2003-01-13T02:52:43.361421,160.93374189045375,-75.93740956964068,-1.132812,2003-01-13T02:52:45.933564,-75.25247849439988,160.7034651952068,2.03125,,,,
2003-01-13T22:08:21.638882,160.92859091657112,-75.24886404319611,67.773438,2003-01-13T22:08:22.018697,-75.32004838760845,160.93468853911642,-1.484375,,,,
2003-01-14T03:05:46.550866,161.30785250222473,-75.33826604250748,-4.648438,2003-01-14T03:05:47.144796,-75.33518000358323,161.32669514127923,-4.296875,,,,
2003-01-14T21:24:46.767687,160.69993148466813,-75.35121451164909,-4.648438,2003-01-14T21:24:46.633696,-75.33042532126457,160.62525727737537,-4.296875,,,,
2003-01-15T02:43:38.375545,160.5946920842011,-75.42683079368489,-4.648438,2003-01-15T02:43:35.494887,-75.58651671735144,161.07518649373438,165.15625,,,,
2003-01-15T11:45:27.605278,161.21357781126494,-75.25493237387843,72.695312,2003-01-15T11:45:27.572544,-75.15123827091428,161.48183519543645,20.3125,,,,
2003-01-16T04:21:39.225538,161.27014317640655,-75.34443347153157,-4.648438,2003-01-16T04:22:05.658500,-77.02707954698703,159.06029003010295,28.75,,,,
2003-01-17T01:29:54.385135,160.80540466856158,-75.36052902262084,-4.648438,2003-01-17T01:29:54.258584,-75.36589489511036,160.81281075802607,-4.296875,,,,
2003-01-18T12:54:26.021295,160.98790095602104,-75.29174322755367,-4.648438,2003-01-18T12:54:26.090247,-75.2955665319618,161.08564916615381,-4.296875,,,,
2003-01-30T01:03:58.278931,160.79703834507666,-75.38808039906641,-4.648438,2003-01-30T01:03:58.981003,-75.38735654058786,160.84249005633058,-4.296875,,,,
2003-01-30T14:19:01.040310,161.13978139961634,-75.03690921846203,88.515625,2003-01-30T14:19:00.900353,-75.1348109872214,161.18388200388944,-4.296875,,,,
2003-01-31T12:21:35.003179,160.72941330214115,-75.37269022958488,-4.648438,2003-01-31T12:21:33.232734,-75.36589489511036,160.81281075802607,-4.296875,,,,
2003-02-01T09:02:48.076157,161.0557989424793,-75.27414111592114,-4.296875,2003-02-01T09:02:48.568485,-75.32155514294973,161.16831472742356,-4.296875,,,,
