channel,phase,time
BHZ,P,2013-08-31T15:20:37.720342
BHZ,P,2013-09-01T04:46:51.611028
BHN,S,2013-09-04T13:42:02.876006
BHZ,P,2013-09-04T13:41:51.403962
BHN,S,2013-09-08T01:31:36.164651
BHZ,P,2013-09-08T01:31:25.247615
BHN,S,2013-09-11T07:27:20.769066
BHZ,P,2013-09-11T07:27:08.842551
BHN,S,2013-09-13T19:49:02.552752
BHZ,P,2013-09-13T19:48:51.330743
BHN,S,2013-09-13T21:13:30.160820
BHZ,P,2013-09-13T21:13:18.658698
BHN,S,2013-09-16T14:59:28.492378
BHZ,P,2013-09-16T14:59:17.563062
BHN,S,2013-09-17T00:42:53.459412
BHZ,P,2013-09-17T00:42:41.070900
BHN,S,2013-09-17T15:21:59.997814
BHZ,P,2013-09-17T15:21:47.992294
BHN,S,2013-09-20T19:01:10.839761
BHZ,P,2013-09-20T19:01:00.728615
BHN,S,2013-09-21T03:08:46.541529
BHZ,P,2013-09-21T03:08:35.902896
BHN,S,2013-09-23T00:46:47.359148
BHZ,P,2013-09-23T00:46:36.455930
BHN,S,2013-09-23T04:35:14.675276
BHZ,P,2013-09-23T04:35:03.223624
BHN,S,2013-09-23T22:16:15.318708
BHZ,P,2013-09-23T22:16:03.993169
BHN,S,2013-09-24T21:39:32.213170
BHZ,P,2013-09-24T21:39:20.632302
BHN,S,2013-09-25T13:09:21.324047
BHZ,P,2013-09-25T13:09:09.914825
BHN,S,2013-09-27T14:32:52.013366
BHZ,P,2013-09-27T14:32:41.718192
BHN,S,2013-09-28T22:03:48.051031
BHZ,P,2013-09-28T22:03:36.366936
BHN,S,2013-09-29T09:00:58.418787
BHZ,P,2013-09-29T09:00:47.010481
BHN,S,2013-10-02T03:51:36.178536
BHZ,P,2013-10-02T03:51:23.578837
BHN,S,2013-10-03T03:54:33.175267
BHZ,P,2013-10-03T03:54:23.012587
BHN,S,2013-10-03T12:51:44.996249
BHZ,P,2013-10-03T12:51:34.574137
BHN,S,2013-10-04T20:58:51.002709
BHZ,P,2013-10-04T20:58:39.918152
BHN,S,2013-10-05T23:06:23.061822
BHZ,P,2013-10-05T23:06:12.216346
BHN,S,2013-10-10T08:49:06.112777
BHZ,P,2013-10-10T08:48:55.078853
BHN,S,2013-10-11T08:26:57.799114
BHZ,P,2013-10-11T08:26:47.186893
BHN,S,2013-10-11T13:43:34.183051
BHZ,P,2013-10-11T13:43:23.583759
BHN,S,2013-10-13T05:09:19.473661
BHZ,P,2013-10-13T05:09:08.905348
BHN,S,2013-10-13T05:16:52.554338
BHZ,P,2013-10-13T05:16:41.836257
BHN,S,2013-10-13T06:27:41.368695
BHZ,P,2013-10-13T06:27:30.460771
BHN,S,2013-10-13T07:34:39.399308
BHZ,P,2013-10-13T07:34:28.933560
BHN,S,2013-10-13T10:50:40.916520
BHZ,P,2013-10-13T10:50:31.299231
BHN,S,2013-10-14T23:20:42.739879
BHZ,P,2013-10-14T23:20:29.561229
BHN,S,2013-10-15T02:54:27.368371
BHZ,P,2013-10-15T02:54:16.355724
BHN,S,2013-10-16T22:09:18.551066
BHN,S,2013-10-19T02:14:40.730555
BHZ,P,2013-10-19T02:14:30.134025
BHN,S,2013-10-19T12:25:45.208782
BHZ,P,2013-10-19T12:25:32.838257
BHN,S,2013-10-19T17:07:47.213145
BHZ,P,2013-10-19T17:07:36.145973
BHN,S,2013-10-22T05:09:50.602395
BHZ,P,2013-10-22T05:09:38.731494
BHN,S,2013-10-22T07:59:49.468130
BHZ,P,2013-10-22T07:59:39.146124
BHN,S,2013-10-22T23:24:11.818806
